 INFO  Accepting connections at http://localhost:4173
 HTTP  28.06.2026 00:28:51 127.0.0.1 GET /
 HTTP  28.06.2026 00:28:51 127.0.0.1 Returned 200 in 24 ms
 HTTP  28.06.2026 00:30:02 ::1 GET /
 HTTP  28.06.2026 00:30:02 ::1 GET /o-mnie
 HTTP  28.06.2026 00:30:02 ::1 GET /wspolpraca
 HTTP  28.06.2026 00:30:02 ::1 Returned 200 in 4 ms
 HTTP  28.06.2026 00:30:02 ::1 Returned 200 in 3 ms
 HTTP  28.06.2026 00:30:02 ::1 Returned 200 in 3 ms
 HTTP  28.06.2026 00:30:07 ::1 GET /
 HTTP  28.06.2026 00:30:07 ::1 Returned 200 in 2 ms
 HTTP  28.06.2026 00:30:07 ::1 GET /main-C3ZQBDE7.js
 HTTP  28.06.2026 00:30:07 ::1 GET /polyfills-5CFQRCPP.js
 HTTP  28.06.2026 00:30:07 ::1 Returned 200 in 4 ms
 HTTP  28.06.2026 00:30:07 ::1 Returned 200 in 7 ms
 HTTP  28.06.2026 00:30:07 ::1 GET /styles-MAESO4FT.css
 HTTP  28.06.2026 00:30:07 ::1 Returned 200 in 3 ms
 HTTP  28.06.2026 00:30:07 ::1 GET /chunk-CeAsShkm.js
 HTTP  28.06.2026 00:30:07 ::1 Returned 200 in 2 ms
 HTTP  28.06.2026 00:30:07 ::1 GET /assets/favicon.svg
 HTTP  28.06.2026 00:30:07 ::1 Returned 200 in 2 ms
 HTTP  28.06.2026 00:30:07 ::1 GET /chunk-DLbEdklx.js
 HTTP  28.06.2026 00:30:07 ::1 GET /chunk-DhDEAL_x.js
 HTTP  28.06.2026 00:30:07 ::1 Returned 200 in 1 ms
 HTTP  28.06.2026 00:30:07 ::1 Returned 200 in 3 ms
 HTTP  28.06.2026 00:30:12 ::1 GET /favicon.ico
 HTTP  28.06.2026 00:30:12 ::1 Returned 200 in 1 ms
 HTTP  28.06.2026 00:30:14 ::1 GET /favicon.ico
 HTTP  28.06.2026 00:30:14 ::1 Returned 200 in 1 ms
 HTTP  28.06.2026 00:30:16 ::1 GET /chunk-C6CfTV-I.js
 HTTP  28.06.2026 00:30:16 ::1 Returned 200 in 2 ms
 HTTP  28.06.2026 00:35:53 ::1 GET /o-mnie
 HTTP  28.06.2026 00:35:53 ::1 Returned 200 in 2 ms
 HTTP  28.06.2026 00:35:53 ::1 GET /polyfills-5CFQRCPP.js
 HTTP  28.06.2026 00:35:53 ::1 Returned 200 in 2 ms
 HTTP  28.06.2026 00:35:53 ::1 GET /styles-MAESO4FT.css
 HTTP  28.06.2026 00:35:53 ::1 GET /main-XL4VDTCA.js
 HTTP  28.06.2026 00:35:53 ::1 Returned 200 in 2 ms
 HTTP  28.06.2026 00:35:53 ::1 Returned 200 in 3 ms
 HTTP  28.06.2026 00:35:53 ::1 GET /chunk-1SjuNs6u.js
 HTTP  28.06.2026 00:35:53 ::1 Returned 200 in 2 ms
 HTTP  28.06.2026 00:35:53 ::1 GET /assets/favicon.svg
 HTTP  28.06.2026 00:35:53 ::1 Returned 200 in 1 ms
 HTTP  28.06.2026 00:35:54 ::1 GET /assets/favicon.svg
 HTTP  28.06.2026 00:35:54 ::1 Returned 200 in 1 ms
 HTTP  28.06.2026 00:36:12 ::1 GET /chunk-C62HkOCu.js
 HTTP  28.06.2026 00:36:12 ::1 Returned 200 in 1 ms
 HTTP  28.06.2026 00:36:12 ::1 GET /chunk-BT_UnQG9.js
 HTTP  28.06.2026 00:36:12 ::1 Returned 200 in 1 ms
 HTTP  28.06.2026 00:36:12 ::1 GET /chunk-te7FdhaD.js
 HTTP  28.06.2026 00:36:12 ::1 Returned 200 in 1 ms
 HTTP  28.06.2026 00:36:12 ::1 GET /assets/favicon.svg
 HTTP  28.06.2026 00:36:12 ::1 Returned 200 in 1 ms
 HTTP  28.06.2026 00:36:33 ::1 GET /chunk-B_ufl4J7.js
 HTTP  28.06.2026 00:36:33 ::1 Returned 200 in 2 ms
 HTTP  28.06.2026 00:36:33 ::1 GET /assets/favicon.svg
 HTTP  28.06.2026 00:36:33 ::1 Returned 200 in 1 ms
 HTTP  28.06.2026 00:38:18 ::1 GET /assets/favicon.svg
 HTTP  28.06.2026 00:38:18 ::1 Returned 200 in 1 ms
 HTTP  28.06.2026 00:38:18 ::1 GET /assets/favicon.svg
 HTTP  28.06.2026 00:38:18 ::1 Returned 200 in 1 ms
